s,mV
0.032100000000000004,-85.37820795033358
0.0322,-85.37821578739462
0.0323,-85.37822362445566
0.0324,-85.37823146151669
0.0325,-85.37823929857774
0.032600000000000004,-85.37824713563877
0.0327,-85.37825497269982
0.0328,-85.37826280976086
0.0329,-85.3782706468219
0.033,-85.37827848388294
0.033100000000000004,-85.37828632094397
0.0332,-85.37829415800502
0.0333,-85.37830199506605
0.0334,-85.3783098321271
0.0335,-85.37831766918814
0.033600000000000005,-85.37832550624917
0.0337,-85.37833334331022
0.033800000000000004,-85.37834118037125
0.0339,-85.3783490174323
0.034,-85.37835685449333
0.0341,-85.37836469155438
0.0342,-85.37837252861542
0.034300000000000004,-85.37838036567645
0.0344,-85.3783882027375
0.0345,-85.37839603979853
0.0346,-85.37840387685958
0.0347,-85.37841171392061
0.034800000000000005,-85.37841955098165
0.0349,-85.3784273880427
0.035,-85.37843522510373
0.0351,-85.37844306216478
0.0352,-85.37845089922581
0.035300000000000005,-85.37845873628686
0.0354,-85.3784665733479
0.0355,-85.37847441040893
0.0356,-85.37848224746998
0.0357,-85.37849008453101
0.035800000000000005,-85.37849792159206
0.0359,-85.37850575865309
0.036,-85.37851359571414
0.0361,-85.37852143277517
0.0362,-85.3785292698362
0.036300000000000006,-85.37853710689726
0.0364,-85.37854494395829
0.0365,-85.37855278101934
0.0366,-85.37856061808037
0.0367,-85.3785684551414
0.036800000000000006,-85.37857629220245
0.036899999999999995,-85.37858412926349
0.037,-85.37859196632454
0.0371,-85.37859980338557
0.037200000000000004,-85.37860764044662
0.03730000000000001,-85.37861547750765
0.037399999999999996,-85.37862331456869
0.0375,-85.37863115162973
0.0376,-85.37863898869077
0.037700000000000004,-85.37864682575182
0.03780000000000001,-85.37865466281285
0.037899999999999996,-85.3786624998739
0.038,-85.37867033693493
0.0381,-85.37867817399597
0.038200000000000005,-85.37868601105701
0.03830000000000001,-85.37869384811805
0.038400000000000004,-85.3787016851791
0.0385,-85.37870952224013
0.0386,-85.37871735930116
0.038700000000000005,-85.37872519636221
0.0388,-85.37873303342325
0.038900000000000004,-85.3787408704843
0.039,-85.37874870754533
0.0391,-85.37875654460638
0.039200000000000006,-85.37876438166741
0.0393,-85.37877221872844
0.039400000000000004,-85.37878005578949
0.0395,-85.37878789285053
0.0396,-85.37879572991157
0.039700000000000006,-85.3788035669726
0.0398,-85.37881140403364
0.039900000000000005,-85.37881924109469
0.04,-85.37882707815572
0.040100000000000004,-85.37883491521677
0.0402,-85.3788427522778
0.0403,-85.37885058933885
