# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				21377.960000000003 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.697000e+02	-4.014435e+01	-4.014493e+01
-1.696800e+02	-4.016012e+01	-4.016352e+01
-1.696600e+02	-4.017945e+01	-4.018173e+01
-1.696400e+02	-4.019877e+01	-4.020012e+01
-1.696200e+02	-4.021910e+01	-4.021853e+01
-1.696000e+02	-4.024355e+01	-4.023693e+01
-1.695800e+02	-4.025828e+01	-4.025535e+01
-1.695600e+02	-4.027658e+01	-4.027356e+01
-1.695400e+02	-4.029695e+01	-4.029170e+01
-1.695200e+02	-4.030815e+01	-4.030967e+01
-1.695000e+02	-4.032747e+01	-4.032709e+01
-1.694800e+02	-4.034372e+01	-4.034433e+01
-1.694600e+02	-4.035492e+01	-4.036129e+01
-1.694400e+02	-4.037528e+01	-4.037792e+01
-1.694200e+02	-4.039558e+01	-4.039467e+01
-1.694000e+02	-4.041442e+01	-4.041133e+01
-1.693800e+02	-4.042970e+01	-4.042808e+01
-1.693600e+02	-4.044597e+01	-4.044502e+01
-1.693400e+02	-4.046223e+01	-4.046217e+01
-1.693200e+02	-4.047598e+01	-4.047935e+01
-1.693000e+02	-4.049275e+01	-4.049642e+01
-1.692800e+02	-4.050955e+01	-4.051333e+01
-1.692600e+02	-4.053090e+01	-4.052978e+01
-1.692400e+02	-4.054665e+01	-4.054643e+01
-1.692200e+02	-4.056243e+01	-4.056281e+01
-1.692000e+02	-4.058735e+01	-4.057881e+01
-1.691800e+02	-4.059855e+01	-4.059485e+01
-1.691600e+02	-4.061532e+01	-4.061095e+01
-1.691400e+02	-4.062905e+01	-4.062734e+01
-1.691200e+02	-4.064180e+01	-4.064376e+01
-1.691000e+02	-4.065958e+01	-4.066033e+01
-1.690800e+02	-4.067128e+01	-4.067704e+01
-1.690600e+02	-4.068757e+01	-4.069378e+01
-1.690400e+02	-4.070893e+01	-4.071054e+01
-1.690200e+02	-4.072723e+01	-4.072745e+01
-1.690000e+02	-4.074198e+01	-4.074506e+01
-1.689800e+02	-4.076233e+01	-4.076258e+01
-1.689600e+02	-4.077862e+01	-4.077996e+01
